@relation _home_ironlota_Documents_project_dataset

@attribute text string
@attribute @@class@@ {clean,spam}

@data
'Beli 1 Gratis 1 Makanan/Minuman pilihan. Yuk! Tukarkan SMS ini langsung ke ROEMPI Coffee & Eatery JL.Anggrek No.27. RSPV:Line @Roempi_Bdg. T&C Apply. Promo*606#',clean
'menganai harganya saya sudah merasah cocok dan setuju jadi dp tanda jadinya harus berapa dlu mho hbu:085298464537',spam
'Roadshow Natasha Hairmate,SunPlaza Medan,7-11 Sept \'16.Free Hair Treatment*) & Disc 25\% Product*).Special perform Afgan 10 Sept\'16.Info 08112979694 /1500422',clean
'Hanya dengan modal sebesar 25,000 rupiah di www.brotogel6.com anda sudah bisa menikmati permainan seru Togel + Live Dingdong selama 24 Jam, Tunggu apalagi?',spam
'Dapatkan Bonus Saldo Rp.100.000,-, setiap transaksi Rp.200.000,- di Amazone Sun Plaza Lt. 4, Tukarkan sms ini segera. S&K Berlaku. Promo *606#',clean
'Judi Casino Online terpercaya! gabung di www.wigobet3.com . Komisi referral 0,3 \% dan bonus deposit 10\%. Min dp 25rb, Mainkan di PC dan Androidmu.',spam
'BUY 1 GET 1 SELECTED ITEM di SKATERS CIHAMPELAS Jl. Cihampelas No 155A dari tgl 22-28 Feb 2017. T&C Apply. Promo *606#',clean
'Tak kenal maka tak sayang , makanya aq pengen bgt kenalan sm km,cuma gk berani ngomong lgsg,, km tlp aq ya , ini nomernya i08091401140 no sex dan sara .',spam
'Diskon 40\% All Food di BASO BIP Lt.GF Telp 022-4201624.T&C.Tukarkan sms ini berlaku setiap hari selama promo berlaku.Promo*606#',clean
'Terima kasih, Anda telah berhasil melakukan transfer pulsa sebesar Rp 5000 ke nomor 6281377221227 dengan tarif Rp 1500. Info CS: 188',spam
'BELI 1 Medium GRATIS 1 SMALL GELATO. Tukarkan SMS ini di Lets Go Gelato Setiabudhi. Berlaku hingga 30 Juni 2017. S&K berlaku.Promo*606#',clean
'Mencoba menepi kedalaman hatimu , tp sayangnya terlalu dingin heeemmm..tlp aku ya ke No. 08091401054 , selalu ingat no sex & sara , aku tunggu ya.',spam
'Dapatkan saldo bermain sebesar Rp 125rb hanya dgn membayar Rp 75rb.Berlaku setiap hari di bulan Jun 17.Tukarkan SMS ini segera di Timezone terdekat! Promo *606#',clean
'pesan resmi dari PT MOBOINDOSAT berkah isi ulang pulsa no anda m-dpt hadiah cek tunai Rp.100jt dengan pin 257f999 U/INFO KLIK www.moboindosat16.blogspot.com',spam
'Selamat, Anda mendapatkan kuota Tsel sebesar 20Minutes. Cek kuota di *888# atau akses My Telkomsel App.',clean
'Surat keputusan TELKOMSEL, Tgl 07-09-2016 PIN:MK577RZ menyatakan NO anda pemenang ke-4 TELKOMSEL, U/Info klik: www.pttelkomsel-tbk.blogspot.com',spam
'Buruan aktifkan paket internet cepat Telkomsel hanya Rp8ribu dengan kuota mulai dari 500MB khusus Sabtu & Minggu. Aktifkan Paketnya di *363#.SKB',clean
'uangnya dikirim ke rekening ini aja,BNI. a/n: RISMIN SUMINAH. No.REK: 041-367-2419. sms aja klau sdh dikirim,makasih.',spam
'Beli 1 GRATIS 1,Beli 1 pizza Pinggiran Double Cheesy Bites,GRATIS 1 Original Reg Meaty Pizza.Tukarkan sms ini di PHD Dago.Tukar skrg!Promo *606#',clean
'Jangan sampai ketinggalan info DISKON besar-besaran paling Terkini! Update infonya dari *123*22*8#',spam
'THE BEST SILKY DESSERTS IS NOW IN BANDUNG! GRATIS 1 PUYO setiap pembelian 2 Silky Desserts! Tunjukkan SMS ini di Puyo Ciwalk, Lt. 1 hari ini! Promo *606#',clean
'Info finance: DANA CEPAT SEHARI HNGGA SEMILYAR jmnan BPKB MBL/MTR- KTA hngga 250jt syrat KARTU KREDIT minat hub META 085210239772-085210239959-085710615327',spam
'Mau ke BALI & LOMBOK GRATIS selepas puasa? Ayo Daftar M-BANKING di ATM/BANK & TRANSAKSI sebanyak2nya! Info: http://bit.ly/2p9Cm8b. s/d 30Jun WA16E ',clean
'Maaf kami sudah menghubungi andah tapi tidak tersambung nomor andah meraih hadiah ke:2 pin anda M248K81 U/info klik di: www.program-mkios2016.blogspot.com',spam
'Beli 6 Gratis 6 Donut dari DUNKIN GIANT SUCI JL.PHH MUSTOFA NO 7. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada.Promo *606#',clean
'Hi, adik2. Deadline pendaftaran NLC schematics tinggal bentar lagi lho. Buruan Daftar! Hadiah utamanya Free Pass Jurusan T.Informatika ITS Don\'t Miss IT!!!',spam
'Coba peruntunganmu di Tahun 2017 dengan mengirimkan CV ke Perusahaan2 besar yang lagi buka lowongan dengan gaji idaman! Hubungi *123*22*2# ',clean
'Pasang Parabola Venus Tahan Hujan Free Ratusan CHANNEL Tanpa biaya/blan BONUS 2TH ALL CHANNEL premium HBO,FOX MOVIE,DISCOVERY DLL Hub: 08128972497 - 08568365754',spam
'Spesial Promo Buy 2 get 1 all DIMSUM di The Grand Duck King Cambridge City Square Lt 2. Tukarkan SMS Hari ini juga di DUCK KING. S&K Berlaku, Promo *606#',clean
'Menawarkan produk import made in england kacamata pengintai.. bisa menembus kain,kardus,kertas yang minat invet pin BBM: 2906969A',spam
'Dapatkan saldo bermain sebesar Rp 125rb hanya dgn membayar Rp 75rb.Berlaku setiap hari di bulan Jun 17.Tukarkan SMS ini segera di Timezone terdekat! Promo *606#',clean
'Benarkah burung terkecil di dunia adalah Kolibri Lebah?Jwb kuisnya di *123*444*1# Menangkan 100gr emas murni & uang 60jt, GRATIS!Info: www.xl.co.id/xtravaganza',spam
'Buy 1 large cup FREE 1 medium cup di SHINY TEA Center Point Mall Medan. Tukarkan sms ini hari ini, S&k berlaku',clean
'',spam
'BUY 1 GET 1 FREE Buka Puasa hari ini! Beli Ice/Hot Koftea Latte gratis minuman lainnya. Tukar SMS ini di KFC Coffee Dago Bandung. S&K Berlaku. Promo *606#',clean
'BUY 1 GET 1 SELECTED ITEM di SKATERS CIHAMPELAS Jl. Cihampelas No 155A dari tgl 22-28 Feb 2017. T&C Apply. Promo *606#',clean
'Paket Berdua Hemat 50\%. Sapo,Sayuran,Nasi,Juice Rp 40.000/org. Tukar sms ini di SAPO ORIENTAL ISTANA PLAZA hari ini. Selama persediaan msh ada. Promo *606#',clean
'BUY 1 GET 1 FREE hanya hari Ini! Beli menu baru Ice/Hot Koftea Latte gratis minuman pilihan di KFC Coffee Dago Bandung. S&K Berlaku. Promo *606#',clean
'Taukah kamu Persib Bandung ada diurutan ke-6 sbg club paling populer di Dunia? Pakai kode nya: PANGERANBIRU, dapatkan disk 30rb dg GrabPay utk naik GrabCar.',clean
'Disc. 40\% for 1 Rice + 1/4 Roasted Chicken + Iced tea only Rp.43rb (Original price Rp.72rb).Tukarkan SMS ini di Kenny Rogers ROASTERS.Limited stock. Promo *606#',clean
'Beli Cocoa Orange Crush Ice Blended,Get Free Green Tea Ice Blended. Tukarkan SMS ini di The Coffee Bean (Tdk berlaku di outlet bandara).S&K Berlaku.Promo *606#',clean
'Travelingnya happy, terbangnya aman, hotelnya nyaman karena dapat diskon AGODA 7\% + Asuransi Gratis 25 Jt! Buruan ke sini http://bit.ly/AktifkanSekarang',clean
'Buy 1 Set Meal LFC Get 1 Free LFC Garlic Sweet & Sour. Redeem this SMS today at Hot Star Paris Van Java. T&C Applies. Promo *606#',clean
'Hai, ada 1 panggilan kerja buat kamu, dan Gaji idaman sedang menanti! Buruan sebelum diambil orang lain! Cek *123*22*3# ',clean
'Promo GrabBike gak pake ribet, jam sibuk/tdk tetap diskon. Byr tunai diskon 50\% kode promo: DISKONSEHARIAN /GrabPay diskon 60\% kode promo: GRAB60(maks Rp10rb)',clean
'Eksklusif cashback s/d 8jt utk SAMSUNG S8/S8+ dgn PRIORITAS. Kunjungi PRIORITAS Center/Xplor/XL Center terdekat. Stock terbatas! Info: prioritas.xl.co.id XP056A ',clean
'Perusahaan2 besar buka lowongan di Tahun 2017 dengan gaji idaman! Kirim CV serta lamaran kamu melalui HP! Hubungi *123*22*2# ',clean
'Mau DVD/Kaos Eksklusif SYTD 2? Beli Perdana MOXPLAY hr ini di CGV PVJ. Hub. 081908258904 / cs@mox.id. Penawaran terbatas! http://bit.ly/2ktGXxe ',clean
'Special Disc.40\% utk pembelian min.5 org. Tukarkan SMS ini di CODE BREAKER, Ruko Center Point Mall H15-16.Selama ruangan masih tersedia.S&K Berlaku.Promo *606#',clean
'BONUS SPEKTAKULER! Dapatkan saldo Timezone senilai Rp 125,000 hanya dengan bayar Rp 75.000. Tukarkan SMS ini segera di Timezone terdekat! Promo *606#',clean
'Weekend Promo Disc 20-50\% di MAHAMERU Outdoor Gear Jl. Cihampelas 110 Bandung. Setiap Hari Jumat-Minggu sampai tanggal 19 Maret 2017. T&C Apply. Promo*606#',clean
'PAKET HEMAT KOMPLIT HANYA Rp.19.545. Syp/paha bwh,Perkedel,Nasi,Ades. Tukar SMS di CFC SIANTAR PLAZA. Selama persediaan msh ada. Promo *606#',clean
'Pelanggan Yth. Beli paket nelpon ke semua operator di *888*369#. Cek informasi tariff nelpon terbaru di tsel.me/sp atau hubungi 188 (Rp300/call).',clean
'Dapatkan Disc 20\% di McDonald\'s khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo',clean
'BELI 4 DAPAT 6 PUYO DESSERTS! Tunjukan SMS ini di Puyo Desserts AEON MALL hari ini untuk dapatkan promonya.Selama persediaan masih ada.Promo *606#',clean
'Back to Work! Nikmati promo beli 1 dapat 2 semua jenis minuman,berlaku di semua gerai Starbucks.Tunjukan SMS ini hari ini.While stock last.T&C apply.Promo *606#¿',clean
'Pilih transportasi yg nyaman, aman & cepat? Pakai Grab utk penuhi aktivitasmu! Kode promo GrabCar: REJEKIGC (tunai) disk 15rb, GRAB40 (GrabPay) disk 40\%',clean
'THE BEST SILKY DESSERTS IS NOW IN BANDUNG! GRATIS 1 PUYO setiap pembelian 2 Silky Desserts! Tunjukkan SMS ini di Puyo Ciwalk, Lt. 1 hari ini! Promo *606#',clean
'Pelanggan Yth, Jangan sampai ketinggalan info DISKON Terkini! Update infonya dari *123*22*8# ',clean
'Buy Combo 1 Fried Chicken, Rice and Mineral Water Hanya Rp 19.000 nett di Wendy\'s terdekat.Selama persediaan masih ada.Tukarkan SMS ini! Promo lain *606#',clean
